text,category,urgency
После обновления приложение вылетает при запуске.,bug,high
"Кнопка оплатить не нажимается, заказ оформить невозможно.",bug,high
При открытии отчёта появляется ошибка 500.,bug,high
"Поиск не находит товары, хотя они есть в каталоге.",bug,medium
Уведомления приходят два раза подряд.,bug,medium
Темная тема сбрасывается после перезапуска.,bug,low
В профиле не сохраняется новая фотография.,bug,medium
Страница настроек долго грузится и иногда зависает.,bug,medium
С карты списали деньги два раза за одну подписку.,billing,high
Не пришёл чек после оплаты тарифа.,billing,medium
Хочу вернуть деньги за случайно оформленную подписку.,billing,high
Где скачать закрывающие документы для бухгалтерии?,billing,medium
Почему стоимость тарифа изменилась в этом месяце?,billing,medium
Как изменить способ оплаты?,billing,low
Не получается оплатить корпоративный тариф.,billing,high
Нужно добавить реквизиты компании в счёт.,billing,medium
"Не могу войти в аккаунт, пароль не подходит.",access,high
Не приходит код двухфакторной аутентификации.,access,high
"Сотрудник уволился, нужно заблокировать ему доступ.",access,high
Как восстановить доступ к старому аккаунту?,access,medium
Не могу пригласить нового участника в команду.,access,medium
Хочу изменить email для входа.,access,low
Пользователь не видит проект после приглашения.,access,medium
Нужно выдать админские права коллеге.,access,medium
Добавьте экспорт отчётов в PDF.,feature,low
Было бы удобно подключить интеграцию с Telegram.,feature,low
Нужна возможность создавать шаблоны ответов.,feature,low
Хотим видеть аналитику по активности команды.,feature,medium
Можно ли добавить массовое редактирование задач?,feature,medium
Нужен API для выгрузки данных в нашу CRM.,feature,medium
Добавьте сортировку проектов по дате изменения.,feature,low
Хотелось бы настроить собственные статусы задач.,feature,low
Как подключить интеграцию с календарём?,question,low
Где посмотреть историю изменений проекта?,question,low
Можно ли использовать сервис на нескольких устройствах?,question,low
Как удалить лишний проект?,question,low
"Подскажите, где найти документацию по API.",question,low
Как изменить язык интерфейса?,question,low
Есть ли мобильное приложение?,question,low
Как перенести данные из другого сервиса?,question,medium
